"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\Graph.hpp", "C++", 7, 0, 5, 12
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\test.hpp", "C++", 80, 0, 10, 90
"Total", "-", 87, 0, 15, 102
