"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\test.hpp", "C++", 0, -3, -3, -6
"Total", "-", 0, -3, -3, -6
