"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\test.hpp", "C++", 65, 1, 6, 72
"Total", "-", 65, 1, 6, 72
