"filename", "language", "C++", "comment", "blank", "total"
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\Graph.h", "C++", 1, 0, 0, 1
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\Graph.hpp", "C++", 8, 1, 2, 11
"c:\Users\L1nSn0w\Desktop\CLibrary\DataStructure\Graph\source\Headers\test.hpp", "C++", 131, 44, 24, 199
"Total", "-", 140, 45, 26, 211
